	Frequency [Hz]	Amplitude [m]	Phase Angle [°]	
1	2,	4,0552e-007	179,79	
2	4,	4,0597e-007	179,57	
3	6,	4,0673e-007	179,36	
4	8,	4,0779e-007	179,14	
5	10,	4,0916e-007	178,92	
6	12,	4,1084e-007	178,7	
7	14,	4,1286e-007	178,47	
8	16,	4,1521e-007	178,24	
9	18,	4,1791e-007	178,	
10	20,	4,2098e-007	177,76	
11	22,	4,2442e-007	177,51	
12	24,	4,2826e-007	177,26	
13	26,	4,3253e-007	176,99	
14	28,	4,3724e-007	176,72	
15	30,	4,4242e-007	176,44	
16	32,	4,481e-007	176,14	
17	34,	4,5433e-007	175,83	
18	36,	4,6115e-007	175,51	
19	38,	4,6859e-007	175,17	
20	40,	4,7672e-007	174,81	
21	42,	4,8559e-007	174,43	
22	44,	4,9528e-007	174,02	
23	46,	5,0587e-007	173,59	
24	48,	5,1745e-007	173,13	
25	50,	5,3013e-007	172,64	
26	52,	5,4403e-007	172,11	
27	54,	5,5931e-007	171,54	
28	56,	5,7613e-007	170,92	
29	58,	5,947e-007	170,24	
30	60,	6,1525e-007	169,49	
31	62,	6,3807e-007	168,67	
32	64,	6,6349e-007	167,76	
33	66,	6,9192e-007	166,75	
34	68,	7,2386e-007	165,61	
35	70,	7,599e-007	164,33	
36	72,	8,0075e-007	162,86	
37	74,	8,4729e-007	161,18	
38	76,	9,0057e-007	159,24	
39	78,	9,6185e-007	156,97	
40	80,	1,0326e-006	154,29	
41	82,	1,1144e-006	151,08	
42	84,	1,2087e-006	147,22	
43	86,	1,3163e-006	142,51	
44	88,	1,4364e-006	136,74	
45	90,	1,564e-006	129,67	
46	92,	1,6868e-006	121,11	
47	94,	1,7833e-006	111,02	
48	96,	1,826e-006	99,755	
49	98,	1,796e-006	88,051	
50	100,	1,6974e-006	76,844	
51	102,	1,5548e-006	66,857	
52	104,	1,3971e-006	58,399	
53	106,	1,2441e-006	51,434	
54	108,	1,1058e-006	45,76	
55	110,	9,8491e-007	41,137	
56	112,	8,8088e-007	37,347	
57	114,	7,9176e-007	34,212	
58	116,	7,1536e-007	31,593	
59	118,	6,4957e-007	29,383	
60	120,	5,9263e-007	27,503	
61	122,	5,4305e-007	25,888	
62	124,	4,996e-007	24,491	
63	126,	4,6129e-007	23,273	
64	128,	4,2733e-007	22,206	
65	130,	3,9705e-007	21,266	
66	132,	3,6993e-007	20,435	
67	134,	3,455e-007	19,695	
68	136,	3,2341e-007	19,036	
69	138,	3,0336e-007	18,448	
70	140,	2,8507e-007	17,92	
71	142,	2,6835e-007	17,447	
72	144,	2,53e-007	17,023	
73	146,	2,3887e-007	16,643	
74	148,	2,2582e-007	16,301	
75	150,	2,1374e-007	15,996	
76	152,	2,0252e-007	15,723	
77	154,	1,9209e-007	15,481	
78	156,	1,8236e-007	15,266	
79	158,	1,7327e-007	15,078	
80	160,	1,6475e-007	14,914	
81	162,	1,5677e-007	14,773	
82	164,	1,4927e-007	14,655	
83	166,	1,422e-007	14,557	
84	168,	1,3554e-007	14,479	
85	170,	1,2925e-007	14,421	
86	172,	1,2331e-007	14,383	
87	174,	1,1767e-007	14,363	
88	176,	1,1234e-007	14,361	
89	178,	1,0727e-007	14,378	
90	180,	1,0245e-007	14,413	
91	182,	9,7865e-008	14,467	
92	184,	9,3499e-008	14,54	
93	186,	8,9335e-008	14,632	
94	188,	8,5361e-008	14,743	
95	190,	8,1564e-008	14,874	
