	Frequency [Hz]	Amplitude [m]	Phase Angle [°]	
1	2,	4,3469e-005	179,76	
2	4,	4,3524e-005	179,52	
3	6,	4,3616e-005	179,28	
4	8,	4,3745e-005	179,04	
5	10,	4,3912e-005	178,79	
6	12,	4,4118e-005	178,55	
7	14,	4,4363e-005	178,3	
8	16,	4,465e-005	178,04	
9	18,	4,498e-005	177,78	
10	20,	4,5353e-005	177,51	
11	22,	4,5773e-005	177,24	
12	24,	4,6242e-005	176,96	
13	26,	4,6762e-005	176,67	
14	28,	4,7337e-005	176,37	
15	30,	4,7969e-005	176,06	
16	32,	4,8663e-005	175,73	
17	34,	4,9424e-005	175,4	
18	36,	5,0255e-005	175,05	
19	38,	5,1164e-005	174,68	
20	40,	5,2157e-005	174,29	
21	42,	5,3241e-005	173,88	
22	44,	5,4425e-005	173,45	
23	46,	5,572e-005	172,99	
24	48,	5,7136e-005	172,5	
25	50,	5,8687e-005	171,98	
26	52,	6,0388e-005	171,42	
27	54,	6,2258e-005	170,81	
28	56,	6,4317e-005	170,16	
29	58,	6,6591e-005	169,44	
30	60,	6,911e-005	168,67	
31	62,	7,1907e-005	167,81	
32	64,	7,5026e-005	166,87	
33	66,	7,8516e-005	165,82	
34	68,	8,2439e-005	164,64	
35	70,	8,6868e-005	163,32	
36	72,	9,1894e-005	161,82	
37	74,	9,7625e-005	160,11	
38	76,	1,0419e-004	158,12	
39	78,	1,1176e-004	155,81	
40	80,	1,2051e-004	153,09	
41	82,	1,3064e-004	149,84	
42	84,	1,4236e-004	145,93	
43	86,	1,5579e-004	141,18	
44	88,	1,7084e-004	135,37	
45	90,	1,8696e-004	128,25	
46	92,	2,027e-004	119,63	
47	94,	2,1545e-004	109,5	
48	96,	2,2183e-004	98,182	
49	98,	2,1943e-004	86,426	
50	100,	2,0859e-004	75,165	
51	102,	1,9222e-004	65,124	
52	104,	1,7378e-004	56,609	
53	106,	1,5574e-004	49,586	
54	108,	1,3932e-004	43,851	
55	110,	1,2492e-004	39,166	
56	112,	1,1249e-004	35,312	
57	114,	1,0182e-004	32,111	
58	116,	9,2652e-005	29,424	
59	118,	8,4752e-005	27,145	
60	120,	7,7908e-005	25,192	
61	122,	7,1943e-005	23,502	
62	124,	6,6713e-005	22,028	
63	126,	6,2101e-005	20,732	
64	128,	5,801e-005	19,583	
65	130,	5,4362e-005	18,558	
66	132,	5,1092e-005	17,638	
67	134,	4,8149e-005	16,808	
68	136,	4,5487e-005	16,055	
69	138,	4,307e-005	15,369	
70	140,	4,0867e-005	14,741	
71	142,	3,8852e-005	14,163	
72	144,	3,7003e-005	13,631	
73	146,	3,5301e-005	13,138	
74	148,	3,3731e-005	12,68	
75	150,	3,2277e-005	12,254	
76	152,	3,0928e-005	11,855	
77	154,	2,9674e-005	11,482	
78	156,	2,8506e-005	11,132	
79	158,	2,7414e-005	10,802	
80	160,	2,6393e-005	10,491	
81	162,	2,5435e-005	10,197	
82	164,	2,4536e-005	9,9191	
83	166,	2,369e-005	9,655	
84	168,	2,2894e-005	9,4039	
85	170,	2,2142e-005	9,1647	
86	172,	2,1432e-005	8,9367	
87	174,	2,0761e-005	8,7187	
88	176,	2,0125e-005	8,5103	
89	178,	1,9521e-005	8,3105	
90	180,	1,8949e-005	8,1188	
91	182,	1,8405e-005	7,9346	
92	184,	1,7887e-005	7,7575	
93	186,	1,7394e-005	7,5868	
94	188,	1,6923e-005	7,4222	
95	190,	1,6475e-005	7,2632	
96	192,	1,6047e-005	7,1096	
97	194,	1,5637e-005	6,9609	
98	196,	1,5246e-005	6,8168	
99	198,	1,4871e-005	6,6771	
100	200,	1,4512e-005	6,5415	
101	202,	1,4168e-005	6,4096	
102	204,	1,3838e-005	6,2814	
103	206,	1,3521e-005	6,1566	
104	208,	1,3216e-005	6,0349	
105	210,	1,2924e-005	5,9162	
106	212,	1,2642e-005	5,8003	
107	214,	1,2371e-005	5,6871	
108	216,	1,2111e-005	5,5763	
109	218,	1,186e-005	5,4679	
110	220,	1,1618e-005	5,3616	
111	222,	1,1384e-005	5,2575	
112	224,	1,1159e-005	5,1553	
113	226,	1,0942e-005	5,0549	
114	228,	1,0732e-005	4,9562	
115	230,	1,0529e-005	4,8591	
116	232,	1,0333e-005	4,7636	
117	234,	1,0144e-005	4,6695	
118	236,	9,9608e-006	4,5767	
119	238,	9,7836e-006	4,4851	
120	240,	9,6121e-006	4,3947	
121	242,	9,446e-006	4,3054	
122	244,	9,2852e-006	4,2171	
123	246,	9,1293e-006	4,1297	
124	248,	8,9783e-006	4,0432	
