	Frequency [Hz]	Amplitude [Pa]	Phase Angle [°]	
1	2,	3,3913e+005	-0,11219	
2	4,	3,3953e+005	-0,22467	
3	6,	3,4021e+005	-0,33774	
4	8,	3,4116e+005	-0,4517	
5	10,	3,4239e+005	-0,56686	
6	12,	3,4391e+005	-0,68353	
7	14,	3,4572e+005	-0,80205	
8	16,	3,4783e+005	-0,92277	
9	18,	3,5026e+005	-1,0461	
10	20,	3,5302e+005	-1,1723	
11	22,	3,5612e+005	-1,3019	
12	24,	3,5958e+005	-1,4354	
13	26,	3,6342e+005	-1,5732	
14	28,	3,6767e+005	-1,7158	
15	30,	3,7235e+005	-1,8639	
16	32,	3,7749e+005	-2,0181	
17	34,	3,8314e+005	-2,1792	
18	36,	3,8931e+005	-2,3479	
19	38,	3,9608e+005	-2,5252	
20	40,	4,0347e+005	-2,7121	
21	42,	4,1156e+005	-2,9097	
22	44,	4,2042e+005	-3,1195	
23	46,	4,3012e+005	-3,3429	
24	48,	4,4077e+005	-3,5817	
25	50,	4,5246e+005	-3,838	
26	52,	4,6533e+005	-4,1141	
27	54,	4,7953e+005	-4,413	
28	56,	4,9524e+005	-4,738	
29	58,	5,1268e+005	-5,0931	
30	60,	5,3211e+005	-5,4833	
31	62,	5,5385e+005	-5,9145	
32	64,	5,7829e+005	-6,394	
33	66,	6,0592e+005	-6,931	
34	68,	6,3736e+005	-7,5369	
35	70,	6,7337e+005	-8,2266	
36	72,	7,1496e+005	-9,0192	
37	74,	7,6346e+005	-9,94	
38	76,	8,2061e+005	-11,023	
39	78,	8,8881e+005	-12,316	
40	80,	9,7137e+005	-13,885	
41	82,	1,073e+006	-15,827	
42	84,	1,2004e+006	-18,289	
43	86,	1,3638e+006	-21,499	
44	88,	1,5777e+006	-25,829	
45	90,	1,863e+006	-31,901	
46	92,	2,242e+006	-40,772	
47	94,	2,7079e+006	-54,067	
48	96,	3,1204e+006	-73,234	
49	98,	3,157e+006	-96,356	
50	100,	2,7548e+006	-117,19	
51	102,	2,2381e+006	-132,18	
52	104,	1,8058e+006	-142,19	
53	106,	1,4813e+006	-148,97	
54	108,	1,2405e+006	-153,74	
55	110,	1,0588e+006	-157,24	
56	112,	9,1835e+005	-159,89	
57	114,	8,0732e+005	-161,96	
58	116,	7,177e+005	-163,62	
59	118,	6,4406e+005	-164,98	
60	120,	5,826e+005	-166,11	
61	122,	5,3059e+005	-167,06	
62	124,	4,8606e+005	-167,87	
63	126,	4,4755e+005	-168,57	
64	128,	4,1393e+005	-169,19	
65	130,	3,8435e+005	-169,72	
66	132,	3,5813e+005	-170,2	
67	134,	3,3475e+005	-170,62	
68	136,	3,1378e+005	-171,	
69	138,	2,9486e+005	-171,34	
70	140,	2,7773e+005	-171,65	
71	142,	2,6214e+005	-171,93	
72	144,	2,4789e+005	-172,18	
73	146,	2,3484e+005	-172,41	
74	148,	2,2282e+005	-172,62	
75	150,	2,1174e+005	-172,82	
76	152,	2,0148e+005	-172,99	
77	154,	1,9197e+005	-173,16	
78	156,	1,8311e+005	-173,31	
79	158,	1,7486e+005	-173,45	
80	160,	1,6715e+005	-173,58	
81	162,	1,5993e+005	-173,69	
82	164,	1,5316e+005	-173,8	
83	166,	1,468e+005	-173,9	
84	168,	1,4081e+005	-173,99	
85	170,	1,3516e+005	-174,08	
86	172,	1,2982e+005	-174,16	
87	174,	1,2478e+005	-174,23	
88	176,	1,2e+005	-174,3	
89	178,	1,1547e+005	-174,35	
90	180,	1,1117e+005	-174,41	
91	182,	1,0708e+005	-174,46	
92	184,	1,0319e+005	-174,5	
93	186,	99484	-174,54	
94	188,	95948	-174,57	
95	190,	92572	-174,6	
96	192,	89347	-174,63	
97	194,	86261	-174,65	
98	196,	83307	-174,67	
99	198,	80476	-174,68	
100	200,	77762	-174,69	
101	202,	75156	-174,69	
102	204,	72653	-174,69	
103	206,	70247	-174,69	
104	208,	67933	-174,68	
105	210,	65705	-174,66	
106	212,	63558	-174,65	
107	214,	61489	-174,63	
108	216,	59493	-174,6	
109	218,	57567	-174,57	
110	220,	55706	-174,54	
111	222,	53908	-174,5	
112	224,	52169	-174,46	
113	226,	50487	-174,41	
114	228,	48858	-174,35	
115	230,	47280	-174,3	
116	232,	45751	-174,23	
117	234,	44269	-174,16	
118	236,	42831	-174,09	
119	238,	41435	-174,01	
120	240,	40079	-173,92	
121	242,	38762	-173,82	
122	244,	37482	-173,72	
123	246,	36237	-173,61	
124	248,	35026	-173,49	
125	250,	33847	-173,37	
126	252,	32699	-173,23	
127	254,	31580	-173,09	
128	256,	30490	-172,94	
129	258,	29427	-172,77	
130	260,	28390	-172,59	
131	262,	27379	-172,4	
132	264,	26391	-172,2	
133	266,	25427	-171,98	
134	268,	24484	-171,75	
135	270,	23564	-171,5	
136	272,	22663	-171,23	
137	274,	21783	-170,94	
138	276,	20922	-170,63	
139	278,	20079	-170,29	
140	280,	19254	-169,93	
141	282,	18446	-169,54	
142	284,	17655	-169,11	
143	286,	16881	-168,65	
144	288,	16121	-168,15	
145	290,	15378	-167,6	
146	292,	14649	-167,	
147	294,	13934	-166,35	
148	296,	13234	-165,63	
149	298,	12548	-164,84	
150	300,	11876	-163,96	
151	302,	11218	-162,98	
152	304,	10574	-161,9	
153	306,	9944,6	-160,68	
154	308,	9329,3	-159,31	
155	310,	8729,2	-157,76	
156	312,	8145,	-156,	
157	314,	7577,8	-153,99	
158	316,	7029,3	-151,67	
159	318,	6501,5	-148,99	
160	320,	5997,3	-145,87	
161	322,	5520,4	-142,23	
162	324,	5076,	-137,95	
163	326,	4670,5	-132,94	
164	328,	4312,2	-127,07	
165	330,	4011,	-120,29	
166	332,	3778,	-112,6	
167	334,	3623,6	-104,16	
168	336,	3555,7	-95,245	
169	338,	3577,1	-86,289	
170	340,	3684,2	-77,716	
171	342,	3868,2	-69,855	
172	344,	4117,4	-62,882	
173	346,	4419,6	-56,83	
174	348,	4763,7	-51,644	
175	350,	5140,5	-47,222	
176	352,	5542,7	-43,453	
177	354,	5964,6	-40,231	
178	356,	6402,	-37,463	
179	358,	6851,6	-35,072	
180	360,	7311,	-32,993	
181	362,	7778,3	-31,175	
182	364,	8252,2	-29,573	
183	366,	8731,6	-28,154	
184	368,	9215,9	-26,889	
185	370,	9704,6	-25,754	
186	372,	10197	-24,73	
187	374,	10694	-23,799	
188	376,	11195	-22,948	
189	378,	11700	-22,165	
190	380,	12210	-21,44	
191	382,	12726	-20,765	
